NU_CNPJ_EMPRESA;NO_RAZAO_SOCIAL_EMPRESA;NO_PRODUTO;NU_PROCESSO;DS_TIPO_PRODUTO;DS_CATEGORIA_PRODUTO;DT_FINALIZACAO_PROCESSO;DT_VENCIMENTO_REGISTRO;ST_SITUACAO_REGISTRO
14585613000142;K 1 IMPORT EXPORT EIRELEI;AL-SHARQ PLATINUM ICE AÇAI;25069345844201777;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;07/17/2018 00:00:00;Inativo
14585613000142;K 1 IMPORT EXPORT EIRELEI;AL-SHARQ PLATINUM ICE DULCE DE LEITE;25069345778201724;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;07/17/2018 00:00:00;Inativo
14585613000142;K 1 IMPORT EXPORT EIRELEI;AL-SHARQ PLATINUM ICE LEMON MINT;25069345794201751;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;07/17/2018 00:00:00;Inativo
14585613000142;K 1 IMPORT EXPORT EIRELEI;AL-SHARQ PLATINUM ICE MANGO TANGO;25069345780201723;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;07/17/2018 00:00:00;Inativo
14585613000142;K 1 IMPORT EXPORT EIRELEI;AL-SHARQ PLATINUM ICE MARACUJA;25069345848201783;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;07/17/2018 00:00:00;Inativo
14585613000142;K 1 IMPORT EXPORT EIRELEI;AL-SHARQ PLATINUM ICE MINT;25069345838201761;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;07/17/2018 00:00:00;Inativo
14585613000142;K 1 IMPORT EXPORT EIRELEI;AL-SHARQ PLATINUM ICE WHITE;25069345827201711;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;07/17/2018 00:00:00;Inativo
94858693000100;Ciamérica - cigarros americana ltda.;ALAMO BLEND;25351821883201049;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;07/04/2012 00:00:00;Inativo
94858693000100;Ciamérica - cigarros americana ltda.;ALAMO SPECIAL;25351821879201091;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;07/04/2012 00:00:00;Inativo
31851324000167;M M INDÚSTRIA DE TABACO LTDA;ALAZÃO;25351564721202127;DERIVADOS DO TABACO;CIGARRO DE PALHA;;09/06/2022 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;ALFAKHER CAPPUCCINO;25351049597201717;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;04/10/2018 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;ALFAKHER KIWI FLAVOUR;25351049328201701;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;04/10/2018 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;ALFAKHER MANGO FLAVOUR;25351049498201731;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;04/10/2018 00:00:00;Inativo
07756070000113;Reality Cigars Comércio importação e exportação ltda. - epp;ALFAKHER PINEAPPLE FLAVOUR;25351049648201761;DERIVADOS DO TABACO;FUMO PARA NARGUILE;;04/10/2018 00:00:00;Inativo
14399117000102;MENENDEZ AMERINO & CIA LTDA;ALONSO MENENDEZ;25351014499201111;DERIVADOS DO TABACO;CHARUTO;;06/06/2012 00:00:00;Inativo
14399117000102;MENENDEZ AMERINO & CIA LTDA;ALONSO MENENDEZ CORONA CONNECTICUT;25351491001201211;DERIVADOS DO TABACO;CHARUTO;;04/26/2022 00:00:00;Inativo
14399117000102;MENENDEZ AMERINO & CIA LTDA;ALONSO MENENDEZ Nº 10 CHURCHILL;25351582190200887;DERIVADOS DO TABACO;CHARUTO;;01/05/2011 00:00:00;Inativo
03334170000109;JTI PROCESSADORA DE TABACO DO BRASIL LTDA.;AMERICAN SPIRIT BLUE;25351019270202259;DERIVADOS DO TABACO;CIGARRO COM FILTRO;;06/06/2024 00:00:00;Inativo
03334170000109;JTI PROCESSADORA DE TABACO DO BRASIL LTDA.;AMERICAN SPIRIT BLUE RYO;25351147643202281;DERIVADOS DO TABACO;FUMO DESFIADO;;11/28/2024 00:00:00;Ativo
